words,sentiment_coeff
dont_want,-1.4617799584322393
spread_hatr,-1.885282078422558
let,-1.3890202488079988
ca,-1.4260252912592166
bcci,0.0
rule,-1.3073732915597172
capabl,1.3537006096724529
qld,-1.4105268972485694
flexibl,-1.596921833236095
ca_decid,-1.508049173387579
held,-1.141512141498367
4th,1.3924608395728497
match,1.3880969441376203
differ_venu,-2.0122473051212197
may,-1.1418529725914928
even,-1.2681226471526352
best,1.5235436094859596
till,-1.2520420628050601
state_close,-1.7534517095586295
gate,-1.5961960077620576
bcci_rethink,0.0
play_fourth,0.0
test,1.1172217316715731
gabba,-1.2344658860529034
india,1.086823684685251
ausvsind,1.2501451975907396
cricket_crictrack,0.0
lyon,1.2968702936596443
hope,1.238141159981592
rememb,1.4535206504809755
last_time,1.2638063590199404
team,1.1122443649636438
travel,-1.2525081441802304
au,1.1745539621855972
seri,1.2472770400603996
complain,-1.4845914213953746
oh,-1.4451636967267651
warner,1.2694861922406155
amp,1.1558624695747426
smith,1.285550154784881
ooh,-1.6123170470800288
rather,-1.7308427856478554
shut,-1.8656344553529476
play,1.1279602630455035
game,1.31297937273891
rohit_sharma,1.0802080097734257
record,1.4309639428725802
award,0.0
watch_video,0.0
u,-1.1267990755334638
enjoy,0.0
video,0.0
open,1.3156370267009065
middl_order,1.4336578559558366
maxwel,0.0
finish,1.643017695592316
wicket_keeper,1.2138881609284762
certain,-1.5035325577558354
protocol,-1.3034726013840683
need,1.1913342604099257
follow,-1.0956981974971973
time,1.2298363130583376
one,-1.4451176116875777
real,-1.4882761566419531
stop,-1.7451038696279881
rant,-1.5344161956824087
know,-1.5927987902337393
money,-1.3932506321786498
make,1.1788630680039343
ask,-1.629871384132125
us,-1.2120231111136617
visit_ekbet,0.0
see,1.2496143330266665
free,-1.6529016633049747
sign,-1.0467208047208683
instant,0.0
bigbash_cricket,0.0
ekbet_dream,0.0
bbl_psl,0.0
icc_cpl,0.0
bigbashleagu_cricketlov,0.0
testcricket_worldcup,0.0
cricketfan_pcb,0.0
cricketfev_sport,0.0
beaf,-1.4069811303360111
🤭🤭,1.9363835228370037
job,1.1970958396006717
advertis,-1.320629739848892
promot,-1.3729263495604864
sport,0.0
watch,0.0
lot,1.2445155041174716
women,-1.183550556322597
fyi,-1.7000836797737524
temper,-1.8684376489751513
alway,1.1953350669301084
didnt,-1.578986051591093
get,-1.334128482047563
way,-1.27910303808863
quarantin_rule,-1.5520340531270282
player_broke,-1.3570191620394112
dear,0.0
team’,1.153163130077637
player,-1.1334103021378268
select,1.1688316383349682
win,1.2522875722059923
india’,1.1676790011669487
noth_els,-1.3544414796003288
matter,-1.4605404015036407
come,-1.3665752341050859
like,-1.278254902145454
situat,-1.3637527371028595
⁦_⁦,0.0
ricki_pont,0.0
captain,1.0230517328517048
michael,1.428496656114325
ms_dhoni,0.0
indvsaustest,1.2394374691093182
cricket,0.0
ind_vs,1.0483757807271181
3rd_test,1.1794279544673445
staff,-1.353375141748395
sydney,-1.0715564582793469
check_out,0.0
wait_till,0.0
roll,-1.344745279083089
tender,0.0
ipl,-1.1628430203428672
2021,0.0
titl,1.164417300047401
sponsorship,-1.6009558646557236
would,-1.4996795457773937
well,1.486243776767182
australia,1.1563993039711804
vs,1.1031184072377749
disappoint_‘don’t,0.0
come’_comment,0.0
qld_govern,-1.1418604817105258
minist_rethink,0.0
play_gabba,-1.2324376480228678
im_say,-1.6066983947377615
reason,-1.783604546946532
trp,-1.7547142321397289
low,-1.3240304214450078
dont,-1.6306301967456989
wbbl,-1.3611474816639018
popular,-1.4047381182630103
took,-1.316482594188796
effort,1.4772519705206526
spread,-1.5746263082605068
word,-1.381649533618236
stuff,-1.3478948222447265
made,1.0839945107842328
big,1.3439292389095019
thing,-1.7038631444423618
hand_warmer,-1.5364799826659914
legal,-1.418436344368507
first,1.2748565308619115
research,-1.4631209010668247
stay_home,1.0629208135387034
recommend,1.1962347418350907
earn,-1.23915406856448
safe,-1.5048102522322901
🤙,0.0
regist,0.0
ekbet,0.0
cricketworldcup,0.0
heart,0.0
comeback,1.241608928115297
possibl,-1.2867122110530147
regular,1.4231879991874148
get_well,0.0
soon_dada,0.0
icc,0.0
sauravganguli,0.0
chennai,0.0
elit,0.0
hotel,-1.329311667060747
ongo,1.0984136391197985
mani,-1.2678635193623162
name,-1.1943484847121266
altern,1.1646328251316576
venu,-1.235576383852856
2,1.1364438718374446
test_match,1.4970220540202765
punjab,0.0
report,0.0
less_case,-1.7488525315213832
sinc,-1.149432273417201
month,-1.2206456585258854
mohali,1.3699017018167108
rohitsharma,0.0
ind,1.1100388251582516
bjp,0.0
gambl,-1.2339683103065977
case,-1.5509518515169403
cricket_associ,0.0
bihar,0.0
2016,0.0
suprem_court,-1.4019530578111299
studi,-1.4696849644807117
bet,-1.1759712559118538
allow,-1.5178717334528922
regul,-1.6762140866632282
say,-1.1939182697657467
law,-1.5279906937757786
panel,-1.4816063566804618
last,1.2011550806995868
australian,-1.3560338430016377
tour,-1.2481903739121007
shorten,-1.355377040543145
indian,-1.1232456909217117
continu,1.5422164079074039
express,-1.5841037566790903
ever_sinc,-1.9058296797746488
board,-1.3672653347378827
specul,0.0
thought,-1.1297170664425498
brad_haddin,-1.218991341633841
call,-1.3182767727133085
doesn’t,-1.4991283545959633
want,-1.4089184065773817
explain,-1.4783093590016696
aussi,1.1931631466421428
home,-1.1708570494031854
away,-1.3851522546325594
it’,-1.4657516095665004
sportstak,0.0
kl_rahul,1.2798603665910422
fish,-1.2495296667749598
breath,0.0
sharma,0.0
he,1.31021223356803
talk,-1.582148920978476
bat_order,1.3517535791785094
gill_pujara,1.4562223955125755
rahan,1.3663674725564832
rohit,1.1415195518028447
btw,-1.6073821186336954
good,1.4503055740694295
sir,0.0
former,0.0
presid,0.0
board_control,0.0
saurav,0.0
ganguly’,0.0
polit,-1.2027996730939463
debat,-1.4276635795447488
souravganguli,0.0
tmc,0.0
shame,-1.3222392460741252
serv,0.0
bad,-1.5092992880948735
food,-1.4044285577282491
mumbai,-1.2347223164656806
smat,0.0
corrupt,-1.4723976412828566
futur,1.5252630976668815
indian_cricket,0.0
teamindia,1.3095294938201998
quarantin,-1.1297468605434624
still,-1.2310490245029992
think,-1.5000945884099581
away_home,1.5817334003705288
typic,-1.95601151218741
brad,-2.0535154834221143
mitchel_starc,1.1300400800397377
left,1.1764145316656216
t20,1.1547220494495425
midway,0.0
join_team,0.0
aakashvani,0.0
union_minist,0.0
corpor_affair,0.0
visit,0.0
hospit,0.0
wish,0.0
full,0.0
speedi_recoveri,0.0
getwellsoondada_sauravganguli,0.0
queensland,-1.4297891013357358
directli,-1.4345643799739567
abid,-1.609718481291014
bodi,-1.3747001283549452
racism,-1.4399113754276172
card,-1.2366722296402781
gut,-1.311070349260977
claim,-1.4097568682374562
unnam_bcci,0.0
offici,-1.3947805474650312
present,0.0
civil,0.0
war,-1.426537254234091
star,1.1038037252305253
virat_kohli,1.0971223330812039
🤣🤣🤣🤣🤣,0.0
viratkohli_rohitsharma,1.3121147072507517
indvsau,1.3936778334275026
fair_enough,-1.7237367420104144
that,-1.4145562348316199
troll,-1.3503010419277017
complet_ignor,-1.7650754490962044
i’v,-2.148153634230642
major,-1.4657996222793404
kohli,1.1488408647552086
fan,-1.1048654870679755
everi,-1.284008529911807
babar,-1.134368128982411
relat_post,-2.177946747520374
sm,-1.5372434963368042
noth,-1.3569711879407962
i’m,-1.4374718906281547
tri,-1.6227732157424848
neutral,-1.2982461384724973
much,-1.3774245607439888
zimbabw,-1.2103240464509248
nonsens,-1.6821999942798622
must,-1.4685591182079418
asap,-1.4515012453391585
learn_respect,-1.8111216223548856
wonder,1.3175117454014063
agre,-1.6410816645554753
tour_england,-1.2626203114307568
establish,-1.3374370582319086
boycott,-1.6839137604417453
en,-1.7483581936613226
mass,0.0
one_biggest,1.3870096640157836
fail,1.380998928554661
overload,1.9695835460669349
play_11,1.261362053467526
indiavsaustralia,1.2172453490374318
7th_januari,1.2615308423417884
viratkohli,0.0
rohithsharma,0.0
iccawards2020,0.0
ajinkyarahan,1.4124230905098705
bs,-1.4011729896633067
theyv,-1.5473601992655484
attend,-1.323574165315688
ball,1.196781436439075
hit,1.3066974852539017
crowd,-1.3568025758615894
umpir,-1.1934269837560483
run,1.2132374944489495
boundari,1.2008166991744442
collect,-1.4689083030552366
carri,-1.6274242932612506
hand,-1.4275053395973787
field,1.357050234612161
use,-1.4609154592619293
guy,-1.3414203834265235
go,-1.3596026136364483
take,-1.2770062953413748
support,-1.3192895039556618
bcci_presid,0.0
correct,-1.6227061701113763
person,-1.296146055431684
great,1.4197704988326962
batsman,1.506144823976048
anoth,1.3405368939418478
match_fixer,-1.2603897196632787
man,1.398563859713597
white,-1.3960208172078843
helmet,-1.5681273689951805
fli,-1.2958678307706681
sell,-1.4481714283140612
religion,-1.5079272302126026
imagin,-1.6535568565381944
vaccin,0.0
convinc,-1.6386362209547667
ppl,-1.420162446921716
kill,-1.7262967599223884
bird,-1.6611020125973965
1,1.1519606382451253
stone,0.0
ok,-1.4659996934119415
world_richest,-1.6130628910427578
outsid,-1.4716098257879755
give,1.3158163093319821
right,-1.8615544849435752
flout,-1.635605472368778
rule_appli,-1.673605207151937
everyon,-1.2092357660075201
normal,-1.617963433273566
dont_care,-1.4351386466628235
hoot,-2.270391897973053
statement,-1.1804808720262105
fourth_test,0.0
brisban,-1.142603502390132
heard,-1.6214718432808424
bcci_offici,-1.1397748477726295
none,-1.4709289031036445
ur,-1.1741808996699286
busi,-1.4402123805067788
tc,1.63126537815139
concentr,-1.3428693895066481
otherwis,-1.567489066338494
axe,1.4167581742026498
krbuzz,-1.8353554720490446
new,1.32725886738658
ground,1.0530560026657232
creat,-1.6192181870932618
abu_dhabi,-1.7086480501275694
suffer_sudden,0.0
blackout,0.0
follow_mild,0.0
chest_pain,0.0
workout_session,0.0
move,-1.3987195434276916
kolkata,0.0
woodland_hospit,0.0
day,1.1520682823166661
souravganguli_souravgangulyheartattack,0.0
lose,1.2914253614809967
bcoz,-1.5871724919339771
2018,1.227799704301535
equal,1.5757590385413132
pace_bowl,1.6109897313285273
3,1.1911928445153175
top,1.4218396518011285
bowler_injur,1.5622921008640032
ishant_shami,1.5834982938387598
umesh,1.3467132713211438
let_see,-1.4487805682640205
sad,-1.4436019728553637
god,-1.2296221441505877
havent,-1.4871667528713828
given,-1.3793439968368135
brain,-1.3645093347726598
fool,-1.8397661475620894
former_india,0.0
souravganguli_suffer,0.0
mild_heart,0.0
attack_stabl,0.0
like_discharg,0.0
wednesday_hospit,0.0
author_said,0.0
file_pic,0.0
honestli,-1.87174532387024
sack,-1.4535344044696974
stupid,-1.6613985643627802
piec_shit,-1.4675856660983242
caus,-1.578316265356384
damag,-1.5450677290075367
involv,-1.445662416259969
hardik_pandya,1.396916012619708
store,-1.4170424669458672
decemb,0.0
7,1.2289839293067113
pose,0.0
woman,-1.2315469161038382
without_mask,-1.6002137697561425
two,1.542306978386984
inadvert,-1.461300681798988
breach,-1.3212140821722786
australia’,1.121524907054272
biosecur,-1.188040641169845
norm,-1.365938329143413
indvsaus2020,1.3400071896309378
sourav_ganguli,0.0
health_stabl,0.0
doctor_take,0.0
support_staff,0.0
return_neg,0.0
latest_covid19,0.0
ahead_third,0.0
due,-1.2678662428773788
start,1.1570883078579872
spin,1.3716855207952479
master,0.0
went_insid,-1.1959635454122768
restaur_due,-1.1511356169714597
rain,-1.1970240677150064
viral_video,-1.1556696156970168
nation,-1.2647717623132024
sourav_ganguly’,0.0
right_coronari,0.0
arteri,0.0
suffer_mild,0.0
heart_attack,0.0
getwellsoondada,0.0
belong,-1.2694084104756984
backward,-1.2304582743783847
countri,-1.5946419669293594
pakistan,-1.1102338211442337
peopl,-1.5103876693499976
dont_know,-1.5019608114577634
authent,-1.5978325964735574
instead,-1.4421893351838881
friend,-1.42561242351719
also,-1.2712513745078386
check,0.0
boss_nick,0.0
hockley,0.0
someth,-1.70939374200077
ausvindtest,1.4807017302061258
news,0.0
group,-1.4040125868398274
deliv,1.7363891876291875
batch,0.0
robot,-1.5701214605936504
whing,-1.6478218295643514
covid,-1.3401875326659634
bubbl,-1.3991160061986636
mate,-1.7888145458994023
got,-1.2278903420123835
outta,-2.08847993279222
quick,1.118206711072841
smart,-1.572831670980319
coward,-1.8685076886288365
sad_see,-1.3052391918212705
illiter,-1.58515057266098
lol,-1.5637362221490185
rise,1.2617528012286299
natarajan,1.2368178108633672
tamil_nadu,0.0
seamer,1.4935569139280422
replac_umesh,1.1237533007148757
yadav,1.2575940769132097
sydneytest,1.14751693891298
🧐,0.0
tnatarajan,1.3153105792807074
ausvind,1.3204938651137976
testmatch,1.336190710231064
bharatarmi,0.0
indiancricket,0.0
cricketlov,0.0
cricketfan,0.0
leav,-1.4683068617938535
worri,-1.4042574128430427
happier,1.1838549138054828
ever,1.281109944549112
excit,1.1064030249673382
offer,-1.3765556427421972
cricketfev,0.0
dump,-1.4130188729705488
u_guy,-1.3538441489404687
appreci,1.3387788643605847
perform,1.4290194918774384
young,1.30012262331468
debut,1.5753240403789006
put,-1.4338541288583688
blame,-1.5058902324656578
ball_temper,-1.2236579030303891
question,-1.6885067593661136
nick_hockley,0.0
ceo,0.0
said,-1.177565715354573
play_brisban,-1.4263620006305753
isnt,-1.8143820027225563
slap_face,1.3281670051022358
12th_man,1.3190369707244538
ie,-1.2392348210654527
media,-1.1550378678871198
sooo,1.8062624338483793
could,-1.3738734538092265
sport_person,-1.5614319582871103
gener,-1.4361291026882348
wont,-1.5647278670563647
abid_rule,-2.1743180926244343
restrict,-1.2829503701785294
scg,1.2235434910259744
follow_rule,-1.5199060113262035
mind_game,-1.3443968226490008
wasn’t,-1.5741469250016287
summer,-1.3235031438172289
that’,-1.5357694918684686
virat,1.1374739732150831
sook,-1.8715681951826704
didn’t,-1.632792036446131
boria,-1.364081572570909
domest,-1.258493965588293
resum,1.1258847018971219
feb,0.0
girl,0.0
eng,-1.083716705056566
offici_statement,-1.3290624179763193
au_tour,-1.3273723725279678
cancel,-1.3059763092392678
post,-1.2317807023121616
show,1.13871032278939
care_women,-1.7252938202489578
srk,0.0
effect,1.4220155719435137
undergo_anoth,0.0
angioplasti,0.0
week,0.0
discharg_hospit,0.0
condit_stabl,0.0
medic,0.0
facil,-1.7226587707066172
