words,sentiment_coeff
bt,-1.28036147404674
queen,-3.960043832705353
legend,-4.857506086709384
jk,-1.9733011431355028
vocal,-6.823463475175958
look,-2.962023794115456
yt,-5.516140385559589
credit,-9.318669848013364
🤔,-5.006782729598557
idk_i’m,-10.818273450818122
abl,-3.7029776173407924
post,-2.6449492395860337
three,-4.028913466424764
pic,-4.528236647216518
togeth,-5.378623930090381
ph,1.514589324856625
giveaway,0.0
prize,-2.40036833322717
album,1.403126444363775
tweet,-2.520173063131385
end,-4.114944745539717
worldwid_boy,2.882843192293631
v,1.698926538198437
includ,-3.3406740569979503
vote_teambt,1.2572634384544044
teen_choic,1.2533459756077039
billboard_award,1.2410468353932573
prove_top,1.2358443150125002
intern_act,1.2648207758640602
hay,2.610363908331161
4,1.22401568122239
know,-1.6379698538962626
armi,-1.2468015167177773
want,-1.780469116943266
hey,-7.08812774340846
pl,-4.571377861698458
hater,-3.851526879817761
stop,-1.9698710365472596
noth,-2.811360320697884
un,1.6179744906551934
accept,-4.011006269592288
3,1.2027437353471389
welcom_2021,-4.339695947686387
hi_i’m,0.0
sheher,-2.4027959176093274
i’m,-3.0784133206281212
20,2.6462747958443065
africa,-2.3842848130475334
love,-1.2208360180741942
im,-2.0539497188536573
alway,-1.8059303072708033
horni,-4.254304402385184
🥺,2.4698546235128425
quiet,-12.204063037407826
2,1.2985625770390194
ur,-2.8370278431581037
cri,-6.395310820257405
cold,-3.2922971607977844
help,-3.3503389628124265
onhand,1.6533044862050847
young_forev,3.0040505557186954
offici,2.3064261608840706
poster,1.6774115257981383
onhand_ph,2.1430551842312955
wt_lfb,1.4220388527501386
jungkook,1.2398096768318456
jimin,1.1654367647417851
jhope,1.4326041472352813
suga,1.334456242604268
jin,1.4202925785480247
rm,1.6973407884993974
taehyung_hobi,1.7595596244931162
yoongi,-1.6919407074787358
namjoon,1.6678656405895222
1,1.2131014759217655
np,4.411281024013469
life_goe,1.5518604970413064
ah,-3.0524909504123494
didnt,-2.156248791858621
one,-1.5132458888074034
🤧🤧,-4.888057869302028
pleas_play,3.94747492308171
vh1playlist,3.7865984386030833
mean,-1.9754087451316957
i’d,-5.97445419072844
ask,-2.6133161866126295
calm,-6.881009399103606
wrong,-3.723210229093755
still,-2.1477335362894125
point,-2.601249666505868
i’v,-4.618019172986804
learn,-2.5541362543855994
term,-4.447697748139702
meant,-3.790396009935476
use,-2.032750771836882
think,-1.804701325237607
lot,-2.2729577887320582
twitter,-2.6018648373318283
spam,-3.233345988621913
take,-2.8903902400529073
away,-5.531422407281613
first_place,-4.79098340244608
he’,-7.652154534156648
get,-1.882349833659948
line,-8.257968326644052
feat,-6.530458889191106
almost,-4.629988738460186
time,-2.210101892922007
stray_kid,0.0
twenti_one,1.748364362609192
pilot,1.7318158466297582
owner,-6.24020834484939
heart,-1.708721443947739
oppa,-6.539032349282675
miss,-4.381604947524893
listen,-3.1553291599165125
adult,-2.8624183282079145
child,-3.25269018605837
make,-1.8035988557241334
realiz,-3.5616391029809367
tri,-2.088571857907378
hear,-3.1911843842994663
song,-1.9894362886815145
mayb,-2.702949641370614
could,-2.4249200237494284
also,-2.0701413359842005
relat,-3.6383714852082685
persona,2.0433436499666358
ᴵ_ᵐⁱˢˢ,1.2629095591504773
ʲᵒᵒⁿ_ᴵ,1.2330031835932254
ᵐⁱˢˢ_ʲⁱⁿ,1.2403885707185465
ʸᵒᵒⁿᵍⁱ_ᴵ,1.2719322233643378
ᵐⁱˢˢ_ʰᵒᵇⁱ,1.2765413686245852
ʲⁱᵐⁱⁿ_ᴵ,1.2746394501903655
ᵐⁱˢˢ_ᵗᵃᵉ,1.2690043143924317
